,comment,cl_comment,wordlist,emojis,sent_num,sent,user,mentioned,likes
3213,That body 😋🔥🔥🔥🍆❤️,bodi,['bodi'],😋🔥🔥🔥🍆❤,0.31651763546772926,neu,tylerj3950, ,0
3214,@kourtneykardash very wonderful look 😍,wonder look,"['wonder', 'look']",😍,0.22597892750432458,neu,elihanio,kourtneykardash ,0
3215,❤️, ,[],❤,0.7460869565217392,neu,solitario1092, ,0
3216,🔥🔥🔥🔥🔥🔥, ,[],🔥🔥🔥🔥🔥🔥,0.1397849462365591,neu,asa.chi.5876, ,0
3217,Nice,nice,['nice'], ,0.4215,pos,samsiloog, ,0
3218,Hola princesa,hola princesa,"['hola', 'princesa']", ,0.0,neu,josejhonnyponce, ,0
3219,Hola princesa,hola princesa,"['hola', 'princesa']", ,0.0,neu,josejhonnyponce, ,0
3220,😍, ,[],😍,0.6779367825129737,neu,josejhonnyponce, ,0
3221,Секс, ,[], ,0.0,neu,sultonmurod424, ,0
3222,At what age does mostly naked seem a bit juvenile,age mostli nake seem bit juvenil,"['age', 'mostli', 'nake', 'seem', 'bit', 'juvenil']", ,0.0,neu,paigepattonhargis, ,0
3223,🙃❤, ,[],🙃❤,0.7460869565217392,neu,codyisg33, ,0
3224,يناري, ,[], ,0.0,neu,hsybkllzmnmhmd, ,0
3225,یعنیچی‌‌ونای‌که‌ تونشون‌میدی‌همه‌زنها.دارن‌‌بیجنبه😤, ,[],😤,-0.2110091743119266,neu,alimoradi55529, ,0
3226,😢🔥🔥🔥, ,[],😢🔥🔥🔥,0.10650760153322705,neu,sktfythzny, ,0
3227,Absolutely Gorgeous Sweetheart Wow Love Her Absolutely Amazing Baby 🌹❤️💜😘🥰😍💕🤩👌🏿,absolut gorgeou sweetheart wow love absolut amaz babi,"['absolut', 'gorgeou', 'sweetheart', 'wow', 'love', 'absolut', 'amaz', 'babi']",🌹❤💜😘🥰😍💕🤩👌🏿,0.7982491754073111,pos,stevennathan209, ,0
3228,Io  teria como você passar ❤️❤️🔥,io teria como voc passar,"['io', 'teria', 'como', 'voc', 'passar']",❤❤🔥,0.20399485741000467,neu,fabiogarciagarciadeli, ,0
3229,Beautiful I love you angel,beauti love angel,"['beauti', 'love', 'angel']", ,0.6369,pos,odhiambovostine, ,0
3230,Ooooo la laaaaa😍,ooooo la laaaaa,"['ooooo', 'la', 'laaaaa']",😍,0.16948419562824343,neu,pullitpete, ,0
3231,🔥🔥🔥🔥🔥🔥🔥🔥, ,[],🔥🔥🔥🔥🔥🔥🔥🔥,0.1397849462365591,neu,symwwwwlmjnwn, ,0
3232,🙌😍😍, ,[],🙌😍😍,0.6387661772751388,neu,abdon719, ,0
3233,❤️❤️❤️❤️❤️❤️👏👏👏🔥🔥🔥🔥, ,[],❤❤❤❤❤❤👏👏👏🔥🔥🔥🔥,0.5074850276687008,neu,apdel.rhman80, ,0
